Año,Mes,Correo oficial  + Correos Privados (en Pesos),,,,id,año,trimestre,tipo,servicio,indicador,valor,unidad,observaciones
2014,Julio,1017169429.89,,,,,,,,,,,,
2014,Junio,955097288.51,,,,,,,,,,,,
2014,Mayo,922535283.00,,,,,,,,,,,,
2014,Abril,917012646.14,,,,,,,,,,,,
2014,Marzo,826357385.03,,,,,,,,,,,,
2014,Febrero,770983833.51,,,,,,,,,,,,
2014,Enero,796471563.16,,,,,,,,,,,,
2013,Diciembre,866466313.61,,,,,,,,,,,,
2013,Noviembre,795302506.01,,,,,,,,,,,,
2013,Octubre,832545557.71,,,,,,,,,,,,
2013,Septiembre,771811845.70,,,,,,,,,,,,
2013,Agosto,741939552.27,,,,,,,,,,,,
2013,Julio,788467463.82,,,,,,,,,,,,
2013,Junio,671711365.81,,,,,,,,,,,,
2013,Mayo,716939293.93,,,,,,,,,,,,
2013,Abril,663469017.83,,,,,,,,,,,,
2013,Marzo,619821977.45,,,,,,,,,,,,
2013,Febrero,561958246.69,,,,,,,,,,,,
2013,Enero,553547775.54,,,,,,,,,,,,
